,lecture,lecture_id,start_time,end_time,text
0,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:00:00,00:00:32,"[SOUND] >> This lecture is about Natural Language of Content Analysis. As you see from this picture, this is really the first step to process any text data. Text data are in natural languages. So computers have to understand natural languages to some extent, in order to make use of the data. So that's the topic of this lecture."
1,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:00:32,00:01:05,"We're going to cover three things. First, what is natural language processing, which is the main technique for processing natural language to obtain understanding. The second is the state of the art of NLP which stands for natural language processing. Finally we're going to cover the relation between natural language processing and text retrieval. First, what is NLP? Well the best way to explain it is to think about if you see a text in a foreign language that you can understand."
2,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:01:06,00:01:42,"Now what do you have to do in order to understand that text? This is basically what computers are facing. So looking at the simple sentence like a dog is chasing a boy on the playground. We don't have any problems understanding this sentence. But imagine what the computer would have to do in order to understand it. Well in general, it would have to do the following. First, it would have to know dog is a noun, chasing's a verb, etc. So this is called lexical analysis, or part-of-speech tagging, and we need to figure out the syntactic categories of those words."
3,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:01:42,00:02:15,"So that's the first step. After that, we're going to figure out the structure of the sentence. So for example, here it shows that A and the dog would go together to form a noun phrase. And we won't have dog and is to go first. And there are some structures that are not just right. But this structure shows what we might get if we look at the sentence and try to interpret the sentence. Some words would go together first, and then they will go together with other words."
4,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:02:16,00:02:51,"So here we show we have noun phrases as intermediate components, and then verbal phrases. Finally we have a sentence. And you get this structure. We need to do something called a semantic analysis, or parsing. And we may have a parser accompanying the program, and that would automatically created this structure. At this point you would know the structure of this sentence, but still you don't know the meaning of the sentence. So we have to go further to semantic analysis. In our mind we usually can map such a sentence to what we already know in our knowledge base."
5,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:02:51,00:03:23,"For example, you might imagine a dog that looks like that. There's a boy and there's some activity here. But for a computer would have to use symbols to denote that. We'd use a symbol (d1) to denote a dog. And (b)1 can denote a boy and then (p)1 can denote a playground. Now there is also a chasing activity that's happening here so we have a relationship chasing that connects all these symbols. So this is how a computer would obtain some understanding of this sentence."
6,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:03:25,00:03:56,"Now from this representation we could also further infer some other things, and we might indeed naturally think of something else when we read a text and this is called inference. So for example, if you believe that if someone's being chased and this person might be scared, but with this rule, you can see computers could also infer that this boy maybe scared. So this is some extra knowledge that you'd infer based on some understanding of the text."
7,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:03:56,00:04:29,"You can even go further to understand why the person say at this sentence. So this has to do as a use of language. This is called pragmatic analysis. In order to understand the speak actor of a sentence, right? We say something to basically achieve some goal. There's some purpose there. And this has to do with the use of language. In this case the person who said this sentence might be reminding another person to bring back the dog."
8,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:04:29,00:05:01,"That could be one possible intent. To reach this level of understanding would require all of these steps and a computer would have to go through all these steps in order to completely understand this sentence. Yet we humans have no trouble with understanding that, we instantly would get everything. There is a reason for that. That's because we have a large knowledge base in our brain and we can use common sense knowledge to help interpret the sentence."
9,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:05:01,00:05:33,"Computers unfortunately are hard to obtain such understanding. They don't have such a knowledge base. They are still incapable of doing reasoning and uncertainties, so that makes natural language processing difficult for computers. But the fundamental reason why natural language processing is difficult for computers is simply because natural language has not been designed for computers. Natural languages are designed for us to communicate. There are other languages designed for computers."
