lecture,id
Lesson 1.1 Natural Language Content Analysis,rLpwp
Lesson 1.2 Text Access,OvxTu
Lesson 1.3 Text Retrieval Problem,CXoWB
Lesson 1.4 Overview of Text Retrieval Methods,gxXq6
Lesson 1.5 Vector Space Model - Basic Idea,o8WNd
Lesson 1.6 Vector Space Retrieval Model - Simplest Instantiation,dM6kh
Lesson 2.1 Vector Space Model - Improved Instantiation,7jqJI
Lesson 2.2 TF Transformation,W0NZe
Lesson 2.3 Doc Length Normalization,RnXhr
Lesson 2.4 Implementation of TR Systems,2Cbq9
Lesson 2.5 System Implementation - Inverted Index Construction,PgzsP
Lesson 2.6 System Implementation - Fast Search,QKK7y
Lesson 3.1 Evaluation of TR Systems,YSvkh
Lesson 3.2 Evaluation of TR Systems - Basic Measures,VMh3Z
Lesson 3.3 Evaluation of TR Systems - Evaluating Ranked Lists - Part 1,rU7LT
Lesson 3.4 Evaluation of TR Systems - Evaluating Ranked Lists - Part 2,8Q2Tw
Lesson 3.5 Evaluation of TR Systems - Multi-Level Judgements,uGa00
Lesson 3.6 Evaluation of TR Systems - Practical Issues,thRNy
Lesson 4.1 Probabilistic Retrieval Model - Basic Idea,nkg5n
Lesson 4.2 Statistical Language Model,kv4Aj
Lesson 4.3 Query Likelihood Retrieval Function,BWexZ
Lesson 4.4 Statistical Language Model - Part 1,f4CYl
Lesson 4.5 Statistical Language Model - Part 2,hI1vE
Lesson 4.6 Smoothing Methods - Part 1,kM6Ie
Lesson 4.7 Smoothing Methods - Part 2,gxNMo
Lesson 5.1 Feedback in Text Retrieval,gw3fo
Lesson 5.2 Feedback in Vector Space Model - Rocchio,PyTkW
Lesson 5.3 Feedback in Text Retrieval - Feedback in LM,M7ylk
Lesson 5.4 Web Search Introduction & Web Crawler,qkTHD
Lesson 5.5 Web Indexing,lRm0I
Lesson 5.6 Link Analysis - Part 1,nE8nq
Lesson 5.7 Link Analysis - Part 2,GUQ1Q
Lesson 5.8 Link Analysis - Part 3 (OPTIONAL),d6INf
Lesson 6.1 Learning to Rank - Part 1 (OPTIONAL),mFYTD
Lesson 6.2 Learning to Rank - Part 2 (OPTIONAL),3d9fD
Lesson 6.3 Learning to Rank - Part 3 (OPTIONAL),h3Jru
Lesson 6.4 Future of Web Search,kM78U
Lesson 6.5 Recommender Systems Content-Based Filtering - Part 1,QORNe
Lesson 6.6 Recommender Systems Content-Based Filtering - Part 2,7M0GD
Lesson 6.7 Recommender Systems Collaborative Filtering - Part 1,cIFsU
Lesson 6.8 Recommender Systems Collaborative Filtering - Part 2,awVwS
Lesson 6.9 Recommender Systems Collaborative Filtering - Part 3,tfXZ4
